CMDLINE c:\users\saeed\miniconda3\envs\tf_v2\python.exe Torch_BigData_Dataset.py
MEM 93.136719 1594891247.6760
MEM 93.140625 1594891247.7770
MEM 93.136719 1594891247.8770
MEM 96.531250 1594891247.9780
MEM 95.808594 1594891248.0780
MEM 94.683594 1594891248.1790
MEM 96.757812 1594891248.2790
MEM 92.636719 1594891248.3790
MEM 92.632812 1594891248.4860
MEM 93.140625 1594891248.5860
MEM 93.136719 1594891248.6870
MEM 93.136719 1594891248.7880
MEM 96.292969 1594891248.8890
MEM 96.304688 1594891248.9900
MEM 92.632812 1594891249.0900
MEM 96.261719 1594891249.1900
MEM 94.910156 1594891249.2920
MEM 95.660156 1594891249.3930
MEM 93.441406 1594891249.4940
MEM 93.140625 1594891249.5950
MEM 93.136719 1594891249.6960
MEM 93.136719 1594891249.7970
MEM 93.140625 1594891249.8970
MEM 95.902344 1594891249.9980
MEM 94.417969 1594891250.1020
MEM 92.636719 1594891250.2220
MEM 92.636719 1594891250.3440
MEM 92.636719 1594891250.4540
MEM 92.640625 1594891250.5570
MEM 95.121094 1594891250.6570
MEM 93.144531 1594891250.7570
MEM 93.140625 1594891250.8580
MEM 97.203125 1594891250.9590
MEM 95.406250 1594891251.0590
MEM 94.382812 1594891251.1600
MEM 94.183594 1594891251.2610
MEM 92.640625 1594891251.3620
MEM 92.640625 1594891251.4630
MEM 94.773438 1594891251.5640
MEM 92.640625 1594891251.6640
MEM 92.640625 1594891251.7650
MEM 97.382812 1594891251.8660
MEM 96.941406 1594891251.9670
MEM 96.460938 1594891252.0670
MEM 95.636719 1594891252.1670
MEM 93.144531 1594891252.2820
MEM 95.332031 1594891252.3830
MEM 92.644531 1594891252.5160
MEM 92.648438 1594891252.6160
MEM 92.644531 1594891252.7170
MEM 92.648438 1594891252.8180
MEM 92.644531 1594891252.9180
MEM 96.757812 1594891253.0190
MEM 95.898438 1594891253.1190
MEM 97.406250 1594891253.2190
MEM 95.648438 1594891253.3200
MEM 94.972656 1594891253.4240
MEM 95.277344 1594891253.5260
MEM 92.648438 1594891253.6340
MEM 92.648438 1594891253.7340
MEM 92.652344 1594891253.8530
MEM 92.648438 1594891253.9540
MEM 95.878906 1594891254.0550
MEM 95.324219 1594891254.1560
MEM 96.476562 1594891254.2570
MEM 93.152344 1594891254.3580
MEM 97.976562 1594891254.4820
MEM 93.695312 1594891254.5830
MEM 93.359375 1594891254.6830
MEM 92.648438 1594891254.7840
MEM 92.648438 1594891254.8850
MEM 92.648438 1594891254.9860
MEM 95.898438 1594891255.0870
MEM 97.300781 1594891255.1880
MEM 96.343750 1594891255.2890
MEM 95.847656 1594891255.3900
MEM 93.156250 1594891255.4990
MEM 93.152344 1594891255.6300
MEM 93.613281 1594891255.7300
MEM 95.878906 1594891255.8320
MEM 93.886719 1594891255.9330
MEM 92.648438 1594891256.0330
MEM 97.652344 1594891256.1340
MEM 94.777344 1594891256.2350
MEM 93.156250 1594891256.3360
MEM 93.156250 1594891256.4370
MEM 96.320312 1594891256.5390
MEM 95.953125 1594891256.6390
MEM 93.796875 1594891256.7400
MEM 93.156250 1594891256.8400
MEM 92.652344 1594891256.9410
MEM 92.652344 1594891257.0430
MEM 95.894531 1594891257.1440
MEM 92.652344 1594891257.2640
MEM 93.160156 1594891257.3670
MEM 93.156250 1594891257.4760
MEM 98.156250 1594891257.5800
MEM 94.464844 1594891257.6810
MEM 95.289062 1594891257.7820
MEM 93.160156 1594891257.8840
MEM 93.367188 1594891257.9840
MEM 92.656250 1594891258.0850
MEM 96.296875 1594891258.1850
MEM 95.406250 1594891258.2850
MEM 95.656250 1594891258.3850
MEM 92.656250 1594891258.4970
MEM 93.164062 1594891258.6010
MEM 97.234375 1594891258.7020
MEM 94.222656 1594891258.8030
MEM 94.718750 1594891258.9040
